CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
CN50032497,8050852433,S1,30-11-2001,ACT12,21-30,C8,0
CN46133447,7600278566,S1,02-12-2001,ACT13,21-30,C7,0
CN35024852,3649653943,S1,18-12-2001,ACT14,21-30,C6,0
CN39035744,9029660831,S1,24-12-2001,ACT15,21-30,C9,1
CN35953765,9982945562,S1,12-06-2001,ACT11,21-30,C19,1
CN97889172,2305794702,S1,19-08-2001,ACT12,21-30,C4,0
CN63156602,6081006075,S1,24-04-2001,ACT13,21-30,C6,1
CN72257818,5440381026,S1,16-09-2001,ACT14,21-30,C9,0
CN48491838,3595207119,S1,03-10-2001,ACT15,21-30,C10,0
CN24475848,2996832030,S1,24-10-2001,ACT11,21-30,C3,1
CN39405827,9870617669,S1,30-11-2001,ACT12,21-30,C8,0
CN36187577,4710958131,S1,02-12-2001,ACT13,21-30,C7,1
CN48810486,6861863814,S1,18-12-2001,ACT14,21-30,C6,0
CN23220850,3576158338,S1,24-12-2001,ACT15,21-30,C9,1
CN52181774,5261574312,S1,12-06-2001,ACT11,21-30,C19,1
CN72962071,4836619511,S1,19-08-2001,ACT12,21-30,C4,0
CN61435005,5014770725,S1,24-04-2001,ACT13,21-30,C6,1
CN44895579,6388411393,S1,16-09-2001,ACT14,21-30,C9,0
CN44509930,3475289357,S1,03-10-2001,ACT15,21-30,C10,0
CN90272795,3486416214,S1,24-10-2001,ACT11,21-30,C3,1
CN59614938,6277614190,S1,30-11-2001,ACT12,21-30,C8,0
CN23664229,8996726918,S1,02-12-2001,ACT13,21-30,C7,0
CN82452358,9637305056,S1,18-12-2001,ACT14,21-30,C6,0
CN32029202,5654274748,S1,24-12-2001,ACT15,21-30,C9,1
CN76903406,3174939316,S1,12-06-2001,ACT11,21-30,C19,1
CN61671930,5347302702,S1,19-08-2001,ACT12,21-30,C4,0
CN98612068,9449935060,S1,24-04-2001,ACT13,21-30,C6,1
CN44553285,8173825956,S1,16-09-2001,ACT14,21-30,C9,0
CN47241351,7720144771,S1,03-10-2001,ACT15,21-30,C10,0
CN48421268,9478149964,S1,24-10-2001,ACT11,21-30,C3,1
CN54159727,7080747984,S1,30-11-2001,ACT12,21-30,C8,0
CN75343436,9038805624,S1,02-12-2001,ACT13,21-30,C7,1
CN32436668,2841263894,S1,18-12-2001,ACT14,21-30,C6,0
CN26412281,3112234259,S1,24-12-2001,ACT15,21-30,C9,1
CN53866403,3798753672,S1,12-06-2001,ACT11,21-30,C19,1
CN41947758,3957886641,S1,19-08-2001,ACT12,21-30,C4,0
CN54501421,6746249157,S1,24-04-2001,ACT13,21-30,C6,0
CN51623022,7462143424,S1,16-09-2001,ACT14,21-30,C9,0
CN40891902,8805874959,S1,03-10-2001,ACT15,21-30,C10,0
CN73458677,8540073017,S1,24-10-2001,ACT11,21-30,C3,1
CN83922764,5978598921,S1,30-11-2001,ACT12,21-30,C8,0
CN92294036,9186844285,S1,02-12-2001,ACT13,21-30,C7,1
CN76567753,9454149944,S1,18-12-2001,ACT14,21-30,C6,0
CN58504730,3378793746,S1,24-12-2001,ACT15,21-30,C9,1
CN59456544,7253335815,S1,12-06-2001,ACT11,21-30,C19,1
CN61557302,7148762738,S1,19-08-2001,ACT12,21-30,C4,0
CN86589661,8475966766,S1,24-04-2001,ACT13,21-30,C6,1
CN43459985,2801988709,S1,16-09-2001,ACT14,21-30,C9,0
CN56421717,3499640490,S1,03-10-2001,ACT15,21-30,C10,0
CN49096065,6779241396,S1,24-10-2001,ACT11,21-30,C3,1
CN70747930,2337641321,S1,30-11-2001,ACT12,21-30,C8,0
CN26885242,9776238376,S1,02-12-2001,ACT13,21-30,C7,0
CN84130275,8592903555,S1,18-12-2001,ACT14,21-30,C6,0
CN38181141,4006106196,S1,24-12-2001,ACT15,21-30,C9,1
CN28709683,9713888830,S1,12-06-2001,ACT11,21-30,C19,1
CN60803695,3761739886,S1,19-08-2001,ACT12,21-30,C4,0
CN92695714,5787836434,S1,24-04-2001,ACT13,21-30,C6,1
CN83182787,9258733499,S1,16-09-2001,ACT14,21-30,C9,0
CN66582052,4004393775,S1,03-10-2001,ACT15,21-30,C10,0
CN81786198,4753089542,S1,24-10-2001,ACT11,21-30,C3,1
CN33064969,5820871568,S1,30-11-2001,ACT12,21-30,C8,0
CN24092144,2445960343,S1,02-12-2001,ACT13,21-30,C7,1
CN26961786,5575615371,S1,18-12-2001,ACT14,21-30,C6,0
CN27133893,2622809198,S1,24-12-2001,ACT15,21-30,C9,1
CN77867278,3504413601,S1,12-06-2001,ACT11,21-30,C19,1
CN86865557,3844778605,S1,19-08-2001,ACT12,21-30,C4,0
CN34569567,5177741268,S1,24-04-2001,ACT13,21-30,C6,0
CN50763730,3429215989,S1,16-09-2001,ACT14,21-30,C9,0
CN45490700,9649758782,S1,03-10-2001,ACT15,21-30,C10,0
CN56783034,8326906604,S1,12-06-2001,ACT11,21-30,C19,1
CN94343155,6979072225,S1,19-08-2001,ACT12,21-30,C4,0
CN72997684,3767394210,S1,24-04-2001,ACT13,21-30,C6,1
CN70876640,8554884519,S2,16-09-2001,ACT11,21-30,C9,0
CN63927776,9986737704,S2,03-10-2001,ACT12,21-30,C10,0
CN49332182,5624286446,S2,24-10-2001,ACT13,21-30,C3,1
CN75342348,7410306073,S2,30-11-2001,ACT14,21-30,C8,0
CN86373904,8780669196,S2,02-12-2001,ACT15,21-30,C7,1
CN64615499,5313515793,S2,18-12-2001,ACT11,21-30,C6,0
CN46422352,3495164747,S2,24-12-2001,ACT12,21-30,C9,1
CN46933207,8480155372,S2,12-06-2001,ACT13,21-30,C19,1
CN36524814,5162411907,S2,19-08-2001,ACT14,21-30,C4,0
CN92124252,2838610527,S2,24-04-2001,ACT15,21-30,C6,1
CN34463375,8918516850,S2,16-09-2001,ACT11,21-30,C9,0
CN99662256,7820742021,S2,03-10-2001,ACT12,21-30,C10,0
CN69397273,5918166042,S2,24-10-2001,ACT13,21-30,C3,1
CN77497211,5506511958,S2,30-11-2001,ACT14,21-30,C8,0
CN29568073,3219305902,S2,02-12-2001,ACT15,21-30,C7,1
CN83638896,4054903602,S2,18-12-2001,ACT11,21-30,C6,0
CN64522828,6696052874,S2,24-12-2001,ACT12,21-30,C9,1
CN88146416,7063202087,S2,12-06-2001,ACT13,21-30,C19,1
CN93045064,9944727931,S2,19-08-2001,ACT14,21-30,C4,0
CN81335080,9259678518,S2,24-04-2001,ACT15,21-30,C6,1
CN56203343,6522956315,S2,16-09-2001,ACT11,21-30,C9,0
CN60995897,5206748317,S2,03-10-2001,ACT12,21-30,C10,0
CN94073971,3578977382,S2,24-10-2001,ACT13,21-30,C3,1
CN48405488,3237923426,S2,30-11-2001,ACT14,21-30,C8,0
CN51938824,3494671530,S2,02-12-2001,ACT15,21-30,C7,1
CN63869084,6747333343,S2,18-12-2001,ACT11,21-30,C6,0
CN85597197,3119449687,S2,24-12-2001,ACT12,21-30,C9,1
CN71641701,6034199381,S2,12-06-2001,ACT13,21-30,C19,1
CN89947473,6666046170,S2,19-08-2001,ACT14,21-30,C4,0
CN40471906,3925112320,S2,24-04-2001,ACT15,21-30,C6,1
CN31847535,9667905393,S2,16-09-2001,ACT11,21-30,C9,0
CN36249256,3163102333,S2,03-10-2001,ACT12,21-30,C10,0
CN27097153,3923816018,S2,24-10-2001,ACT13,21-30,C3,1
CN82381923,5601702948,S2,30-11-2001,ACT14,21-30,C8,0
CN91451444,5735276725,S2,02-12-2001,ACT15,21-30,C7,1
CN49030052,3846045089,S2,18-12-2001,ACT11,21-30,C6,0
CN85318931,5803355036,S2,24-12-2001,ACT12,21-30,C9,1
CN41038084,9758722214,S2,12-06-2001,ACT13,21-30,C19,1
CN25512553,9837290180,S2,19-08-2001,ACT14,21-30,C4,0
CN54837973,8828903085,S2,24-04-2001,ACT15,21-30,C6,1
CN30619186,5720734597,S2,16-09-2001,ACT11,21-30,C9,0
CN97750873,6237594844,S2,03-10-2001,ACT12,21-30,C10,0
CN93609775,2560115922,S2,24-10-2001,ACT13,21-30,C3,1
CN31567561,7743416731,S2,30-11-2001,ACT14,21-30,C8,0
CN81774740,4415483830,S2,02-12-2001,ACT15,21-30,C7,1
CN24471040,4236467152,S2,18-12-2001,ACT11,21-30,C6,0
CN67308334,4926413962,S2,24-12-2001,ACT12,21-30,C9,1
CN30198825,2307126697,S2,12-06-2001,ACT13,21-30,C19,1
CN30618234,4551231978,S2,19-08-2001,ACT14,21-30,C4,0
CN59570244,7075427329,S2,24-04-2001,ACT15,21-30,C6,1
CN69692897,7121188468,S2,16-09-2001,ACT11,21-30,C9,0
CN96110601,2986472773,S2,03-10-2001,ACT12,21-30,C10,0
CN44665153,4405134878,S2,24-10-2001,ACT13,21-30,C3,1
CN58838244,3052972891,S2,30-11-2001,ACT14,21-30,C8,0
CN22484043,3513257882,S2,02-12-2001,ACT15,21-30,C7,1
CN84672296,5277235906,S2,18-12-2001,ACT11,21-30,C6,0
CN39846753,2723447751,S2,24-12-2001,ACT12,21-30,C9,1
CN75583443,2816309232,S2,24-10-2001,ACT13,21-30,C3,1
CN90358186,2936850897,S2,30-11-2001,ACT14,21-30,C8,0
CN75974063,8650249617,S2,02-12-2001,ACT15,21-30,C7,1
CN39178936,6623899789,S2,18-12-2001,ACT11,21-30,C6,0
CN69607382,7543278007,S2,24-12-2001,ACT12,21-30,C9,1
CN57788028,4908617548,S2,12-06-2001,ACT13,21-30,C19,1
CN33152365,5748662179,S2,19-08-2001,ACT14,21-30,C4,0
CN78177872,4268987925,S2,24-04-2001,ACT15,21-30,C6,1
CN48822579,9828309153,S2,16-09-2001,ACT11,21-30,C9,0
CN26141280,9516635124,S2,03-10-2001,ACT12,21-30,C10,0
CN33882196,5177737877,S2,24-10-2001,ACT13,21-30,C3,1
CN79034524,4545656060,S2,30-11-2001,ACT14,21-30,C8,0
CN45996821,5351583268,S2,02-12-2001,ACT15,21-30,C7,1
CN78195961,8797346570,S2,18-12-2001,ACT11,21-30,C6,0
CN54088061,5538119523,S2,24-12-2001,ACT12,21-30,C9,1
CN81944910,8055713648,S2,12-06-2001,ACT13,21-30,C19,1
CN63045692,5052763513,S2,19-08-2001,ACT14,21-30,C4,0
CN98431406,9471988177,S2,24-04-2001,ACT15,21-30,C6,1
CN33992036,8680503400,S2,16-09-2001,ACT11,21-30,C9,0
CN44541988,3119804358,S2,03-10-2001,ACT12,21-30,C10,0
CN98553827,2672615425,S2,24-10-2001,ACT13,21-30,C3,1
CN74943024,5471847674,S3,30-11-2001,ACT11,21-30,C8,0
CN82819793,9879608218,S3,02-12-2001,ACT12,21-30,C7,1
CN30661378,9518953151,S3,18-12-2001,ACT13,21-30,C6,0
CN23496180,3267750658,S3,24-12-2001,ACT14,21-30,C9,1
CN54674158,8435868399,S3,12-06-2001,ACT15,21-30,C19,1
CN30751757,9993422766,S3,19-08-2001,ACT11,21-30,C4,0
CN91883004,7104399200,S3,24-04-2001,ACT12,21-30,C6,1
CN78757695,8846672313,S3,16-09-2001,ACT13,21-30,C9,0
CN99426900,3415149544,S3,03-10-2001,ACT14,21-30,C10,0
CN44924648,6849524864,S3,24-10-2001,ACT15,21-30,C3,1
CN50246947,6220717375,S3,30-11-2001,ACT11,21-30,C8,0
CN33665796,8515442334,S3,02-12-2001,ACT12,21-30,C7,1
CN52090713,5682490287,S3,18-12-2001,ACT13,21-30,C6,0
CN79420277,9863686724,S3,24-12-2001,ACT14,21-30,C9,1
CN26158114,5723423450,S3,12-06-2001,ACT15,21-30,C19,1
CN46865605,4590599696,S3,19-08-2001,ACT11,21-30,C4,0
CN27552995,6375646647,S3,24-04-2001,ACT12,21-30,C6,1
CN70484864,2844736772,S3,16-09-2001,ACT13,21-30,C9,0
CN78023024,2496606852,S3,03-10-2001,ACT14,21-30,C10,0
CN71759643,6787999006,S3,24-10-2001,ACT15,21-30,C3,1
CN46715682,3321550661,S3,30-11-2001,ACT11,21-30,C8,0
CN98374777,9141789733,S3,02-12-2001,ACT12,21-30,C7,1
CN23128120,5563079674,S3,18-12-2001,ACT13,21-30,C6,0
CN80097583,3267747883,S3,24-12-2001,ACT14,21-30,C9,1
CN36193390,4536615923,S3,12-06-2001,ACT15,21-30,C19,1
CN92139658,7561147225,S3,19-08-2001,ACT11,21-30,C4,0
CN43795065,6299410152,S3,24-04-2001,ACT12,21-30,C6,1
CN82760011,8625122698,S3,16-09-2001,ACT13,21-30,C9,0
CN74526358,3280808882,S3,03-10-2001,ACT14,21-30,C10,0
CN48333161,6548957709,S3,24-10-2001,ACT15,21-30,C3,1
CN24860171,8373379519,S3,30-11-2001,ACT11,21-30,C8,0
CN78706267,4064310114,S3,02-12-2001,ACT12,21-30,C7,1
CN58998981,6116085919,S3,18-12-2001,ACT13,21-30,C6,0
CN51672705,9876819866,S3,24-12-2001,ACT14,21-30,C9,1
CN27749934,7614633233,S3,24-10-2001,ACT15,21-30,C3,1
CN37333535,2814213624,S3,30-11-2001,ACT11,21-30,C8,0
CN93986983,6095997261,S3,02-12-2001,ACT12,21-30,C7,1
CN42554144,2603239085,S3,18-12-2001,ACT13,21-30,C6,0
CN91776476,9648691067,S3,24-12-2001,ACT14,21-30,C9,1
CN79669707,6902143598,S3,12-06-2001,ACT15,21-30,C19,1
CN77348363,6527654505,S3,19-08-2001,ACT11,21-30,C4,0
CN53420699,9000957173,S3,24-04-2001,ACT12,21-30,C6,1
CN79213607,3767794628,S3,16-09-2001,ACT13,21-30,C9,0
CN42769093,2686587063,S3,03-10-2001,ACT14,21-30,C10,0
CN72430962,3287426683,S3,24-10-2001,ACT15,21-30,C3,1
CN62220541,2273890332,S3,30-11-2001,ACT11,21-30,C8,0
CN62048027,5865404521,S3,02-12-2001,ACT12,21-30,C7,1
CN66244267,3866967917,S3,18-12-2001,ACT13,21-30,C6,0
CN74619974,6814266555,S3,24-12-2001,ACT14,21-30,C9,1
CN40337557,9461870668,S3,12-06-2001,ACT15,21-30,C19,1
CN84964396,3577203207,S3,19-08-2001,ACT11,21-30,C4,0
CN30998878,3957893808,S3,24-04-2001,ACT12,21-30,C6,1
CN84859577,3109806152,S3,16-09-2001,ACT13,21-30,C9,0
CN83611493,7040776337,S3,03-10-2001,ACT14,21-30,C10,0
CN59986771,9209139101,S3,24-10-2001,ACT15,21-30,C3,1
CN46408159,4342991903,S3,30-11-2001,ACT11,21-30,C8,0
CN24588338,9531737825,S3,02-12-2001,ACT12,21-30,C7,1
CN92113930,2755175781,S3,18-12-2001,ACT13,21-30,C6,0
CN98253452,4904859046,S3,24-12-2001,ACT14,21-30,C9,1
CN23101500,6825032580,S3,12-06-2001,ACT15,21-30,C19,1
CN47294984,3679313879,S3,19-08-2001,ACT11,21-30,C4,0
CN68716649,9334213838,S3,24-04-2001,ACT12,21-30,C6,1
CN70515308,7577649888,S3,16-09-2001,ACT13,21-30,C9,0
CN99561849,7961730441,S3,03-10-2001,ACT14,21-30,C10,0
CN30996617,7297834014,S3,24-10-2001,ACT15,21-30,C3,1
CN45263705,9132779669,S3,30-11-2001,ACT11,21-30,C8,0
CN49374669,2968986525,S3,02-12-2001,ACT12,21-30,C7,1
CN49387482,2647802200,S3,18-12-2001,ACT13,21-30,C6,0
CN53102254,2977621770,S3,24-12-2001,ACT14,21-30,C9,1
CN57603570,8914798110,S3,12-06-2001,ACT15,21-30,C19,1
CN78578384,9839891092,S3,19-08-2001,ACT11,21-30,C4,0
CN35475972,9155908181,S3,24-04-2001,ACT12,21-30,C6,1
CN86498736,6494081477,S3,16-09-2001,ACT13,21-30,C9,0
CN39172122,6524614760,S3,03-10-2001,ACT14,21-30,C10,0
CN84149018,6250595240,S3,24-10-2001,ACT15,21-30,C3,1
CN62588899,6239630244,S3,30-11-2001,ACT11,21-30,C8,0
CN84693525,4567492857,S3,02-12-2001,ACT12,21-30,C7,1
CN36574649,5265856462,S3,18-12-2001,ACT13,21-30,C6,0
CN80327507,6674691211,S4,24-12-2001,ACT11,21-30,C9,1
CN90290857,7473935805,S4,12-06-2001,ACT12,21-30,C19,1
CN81806927,9944867521,S4,19-08-2001,ACT13,21-30,C4,0
CN71263172,4819734801,S4,24-04-2001,ACT14,21-30,C6,1
CN53823645,4924816888,S4,16-09-2001,ACT15,21-30,C9,0
CN51793778,8628199985,S4,03-10-2001,ACT11,21-30,C10,0
CN56329187,9134054003,S4,24-10-2001,ACT12,21-30,C3,1
CN24159024,9213702709,S4,30-11-2001,ACT13,21-30,C8,0
CN66986410,3797750341,S4,02-12-2001,ACT14,21-30,C7,1
CN65591166,4315797087,S4,18-12-2001,ACT15,21-30,C6,0
CN48225890,6071863802,S4,24-12-2001,ACT11,21-30,C9,1
CN41551172,7558270084,S4,12-06-2001,ACT12,21-30,C19,1
CN51500428,6124622235,S4,19-08-2001,ACT13,21-30,C4,0
CN76251314,8521329842,S4,24-04-2001,ACT14,21-30,C6,1
CN61240305,2329821474,S4,16-09-2001,ACT15,21-30,C9,0
CN24612351,4544677267,S4,03-10-2001,ACT11,21-30,C10,0
CN86839128,2447905592,S4,24-10-2001,ACT12,21-30,C3,1
CN52143886,6632196256,S4,30-11-2001,ACT13,21-30,C8,0
CN42740978,4973503813,S4,02-12-2001,ACT14,21-30,C7,1
CN68624280,2668278737,S4,18-12-2001,ACT15,21-30,C6,0
CN40436870,5061897372,S4,24-12-2001,ACT11,21-30,C9,1
CN82303800,9870163028,S4,12-06-2001,ACT12,21-30,C19,1
CN50009364,6979342935,S4,19-08-2001,ACT13,21-30,C4,0
CN82287343,7857143939,S4,24-04-2001,ACT14,21-30,C6,1
CN59104369,2846362043,S4,16-09-2001,ACT15,21-30,C9,0
CN88050479,5965306980,S4,03-10-2001,ACT11,21-30,C10,0
CN93012545,6750707670,S4,24-10-2001,ACT12,21-30,C3,1
CN34683596,9588005623,S4,30-11-2001,ACT13,21-30,C8,0
CN91365244,9672782361,S4,02-12-2001,ACT14,21-30,C7,1
CN63408578,3737988398,S4,18-12-2001,ACT15,21-30,C6,0
CN85527606,3477424713,S4,24-12-2001,ACT11,21-30,C9,1
CN39755153,3104262796,S4,12-06-2001,ACT12,21-30,C19,1
CN66365880,5118544395,S4,19-08-2001,ACT13,21-30,C4,0
CN72065704,5637521078,S4,24-04-2001,ACT14,21-30,C6,1
CN59310690,9693654982,S4,16-09-2001,ACT15,21-30,C9,0
CN83813157,3984365171,S4,03-10-2001,ACT11,21-30,C10,0
CN55575682,5132178599,S4,24-10-2001,ACT12,21-30,C3,1
CN37816653,5285377780,S4,30-11-2001,ACT13,21-30,C8,0
CN86026226,9961829765,S4,02-12-2001,ACT14,21-30,C7,1
CN29857728,4610946533,S4,18-12-2001,ACT15,21-30,C6,0
CN34261865,9353009545,S4,24-12-2001,ACT11,21-30,C9,1
CN31683832,6462510401,S4,12-06-2001,ACT12,21-30,C19,1
CN76089872,3315801202,S4,19-08-2001,ACT13,21-30,C4,0
CN91295503,9496433402,S4,24-04-2001,ACT14,21-30,C6,1
CN78300615,6746899637,S4,16-09-2001,ACT15,21-30,C9,0
CN35689753,7522927492,S4,03-10-2001,ACT11,21-30,C10,0
CN52046703,7549290755,S4,24-10-2001,ACT12,21-30,C3,1
CN60303263,6944277962,S4,30-11-2001,ACT13,21-30,C8,0
CN82442925,9785231721,S4,02-12-2001,ACT14,21-30,C7,1
CN27381949,4044702761,S4,18-12-2001,ACT15,21-30,C6,0
CN74376476,2642922640,S4,24-12-2001,ACT11,21-30,C9,1
CN40476086,2637152199,S4,12-06-2001,ACT12,21-30,C19,1
CN92674072,8091351089,S4,19-08-2001,ACT13,21-30,C4,0
CN87211497,9233787667,S4,24-04-2001,ACT14,21-30,C6,1
CN33520218,6678233177,S4,16-09-2001,ACT15,21-30,C9,0
CN37247617,2622392234,S4,03-10-2001,ACT11,21-30,C10,0
CN81158484,8302509197,S4,12-06-2001,ACT12,21-30,C19,1
CN41555035,2239287908,S4,19-08-2001,ACT13,21-30,C4,0
CN65549769,6948426392,S4,24-04-2001,ACT14,21-30,C6,1
CN62561757,9265077289,S4,16-09-2001,ACT15,21-30,C9,0
CN71843937,4578807751,S4,03-10-2001,ACT11,21-30,C10,0
CN73360578,7123865219,S4,24-10-2001,ACT12,21-30,C3,1
CN86945787,4574638589,S4,30-11-2001,ACT13,21-30,C8,0
CN28949376,2442174137,S4,02-12-2001,ACT14,21-30,C7,1
CN57413933,6122181126,S4,18-12-2001,ACT15,21-30,C6,0
CN48139876,6067829622,S4,24-12-2001,ACT11,21-30,C9,1
CN71235398,9607732932,S4,12-06-2001,ACT12,21-30,C19,1
CN80435944,8257740380,S4,19-08-2001,ACT13,21-30,C4,0
CN22226191,2760391977,S4,24-04-2001,ACT14,21-30,C6,1
CN60319016,5390386029,S4,16-09-2001,ACT15,21-30,C9,0
CN70488402,3632222477,S4,03-10-2001,ACT11,21-30,C10,0
CN85476703,3705489123,S4,24-10-2001,ACT12,21-30,C3,1
CN47824100,9269197568,S4,30-11-2001,ACT13,21-30,C8,0
CN88380209,4464212036,S4,02-12-2001,ACT14,21-30,C7,1
CN92202994,7054619562,S4,18-12-2001,ACT15,21-30,C6,0
CN27834491,3945567879,S4,24-12-2001,ACT11,21-30,C9,1
CN22312693,4961804021,S4,12-06-2001,ACT12,21-30,C19,1
CN61769512,7026929481,S4,19-08-2001,ACT13,21-30,C4,0
CN75418302,6935664486,S5,24-04-2001,ACT11,21-30,C6,1
CN74458264,7568329973,S5,16-09-2001,ACT12,21-30,C9,0
CN24885847,6254623993,S5,03-10-2001,ACT13,21-30,C10,0
CN31252685,5112003155,S5,24-10-2001,ACT14,21-30,C3,1
CN99417216,3046732616,S5,30-11-2001,ACT15,21-30,C8,0
CN61528858,9470224927,S5,02-12-2001,ACT11,21-30,C7,1
CN24909363,4686974948,S5,18-12-2001,ACT12,21-30,C6,0
CN40938579,4608448873,S5,24-12-2001,ACT13,21-30,C9,1
CN23603115,9666500087,S5,12-06-2001,ACT14,21-30,C19,1
CN81529501,8578154159,S5,19-08-2001,ACT15,21-30,C4,0
CN71523517,8340260378,S5,24-04-2001,ACT11,21-30,C6,1
CN54396909,7646506869,S5,16-09-2001,ACT12,21-30,C9,0
CN51074991,7113838903,S5,03-10-2001,ACT13,21-30,C10,0
CN25823183,8184899723,S5,24-10-2001,ACT14,21-30,C3,1
CN55921794,2911194171,S5,30-11-2001,ACT15,21-30,C8,0
CN81432973,4429533998,S5,02-12-2001,ACT11,21-30,C7,1
CN34787515,4622678631,S5,18-12-2001,ACT12,21-30,C6,0
CN24620519,2287226639,S5,24-12-2001,ACT13,21-30,C9,1
CN62748167,3517312055,S5,12-06-2001,ACT14,21-30,C19,1
CN86099932,6288698782,S5,19-08-2001,ACT15,21-30,C4,0
CN89234008,4404739349,S5,24-04-2001,ACT11,21-30,C6,1
CN67591994,4604312100,S5,16-09-2001,ACT12,21-30,C9,0
CN64270256,4429020447,S5,03-10-2001,ACT13,21-30,C10,0
CN30805399,2576062339,S5,24-10-2001,ACT14,21-30,C3,1
CN33200237,6056238808,S5,30-11-2001,ACT15,21-30,C8,0
CN87002995,6046390165,S5,02-12-2001,ACT11,21-30,C7,1
CN34459424,6364705368,S5,18-12-2001,ACT12,21-30,C6,0
CN50516628,2825662441,S5,24-12-2001,ACT13,21-30,C9,1
CN29125226,3600503270,S5,12-06-2001,ACT14,21-30,C19,1
CN27228597,7970041285,S5,19-08-2001,ACT15,21-30,C4,0
CN33516109,7230117253,S5,24-04-2001,ACT11,21-30,C6,1
CN61834874,8327486674,S5,16-09-2001,ACT12,21-30,C9,0
CN35147962,2550238099,S5,03-10-2001,ACT13,21-30,C10,0
CN50828157,8468825433,S5,24-10-2001,ACT14,21-30,C3,1
CN50731374,5095296215,S5,30-11-2001,ACT15,21-30,C8,0
CN99352716,8868830762,S5,02-12-2001,ACT11,21-30,C7,1
CN69702855,3316810584,S5,18-12-2001,ACT12,21-30,C6,0
CN55389713,3249629144,S5,24-12-2001,ACT13,21-30,C9,1
CN24655117,5602949949,S5,24-10-2001,ACT14,21-30,C3,1
CN70371232,6489100857,S5,30-11-2001,ACT15,21-30,C8,0
CN94018056,6720414377,S5,02-12-2001,ACT11,21-30,C7,1
CN86278022,6759158414,S5,18-12-2001,ACT12,21-30,C6,0
CN27630628,8563707833,S5,24-12-2001,ACT13,21-30,C9,1
CN68427077,7116151531,S5,12-06-2001,ACT14,21-30,C19,1
CN51737993,9760130669,S5,19-08-2001,ACT15,21-30,C4,0
CN37872021,5077576982,S5,24-04-2001,ACT11,21-30,C6,1
CN39548316,8488391624,S5,16-09-2001,ACT12,21-30,C9,0
CN25522886,9246841776,S5,03-10-2001,ACT13,21-30,C10,0
CN87019789,3050226367,S5,12-06-2001,ACT14,21-30,C19,1
CN58348851,2930502085,S5,19-08-2001,ACT15,21-30,C4,0
CN64860842,5934164351,S5,24-04-2001,ACT11,21-30,C6,1
CN60241648,7362525449,S5,16-09-2001,ACT12,21-30,C9,0
CN68312144,6234658102,S5,03-10-2001,ACT13,21-30,C10,0
CN76432858,9336829444,S5,24-10-2001,ACT14,21-30,C3,1
CN29100994,5383343909,S5,30-11-2001,ACT15,21-30,C8,0
CN32073049,4603148848,S5,02-12-2001,ACT11,21-30,C7,1
CN84035759,4812302580,S5,18-12-2001,ACT12,21-30,C6,0
CN81175207,7052851804,S5,24-12-2001,ACT13,21-30,C9,1
CN40214865,3789495978,S5,12-06-2001,ACT14,21-30,C19,1
CN71891508,5756661731,S5,19-08-2001,ACT15,21-30,C4,0
CN48090146,6323299947,S5,24-04-2001,ACT11,21-30,C6,1
CN28360516,4905987515,S5,16-09-2001,ACT12,21-30,C9,0
CN78946266,7207723036,S5,03-10-2001,ACT13,21-30,C10,0
CN41734273,4284213104,S5,24-10-2001,ACT14,21-30,C3,1
CN48876163,6650884666,S5,30-11-2001,ACT15,21-30,C8,0
CN68234199,6033849260,S5,02-12-2001,ACT11,21-30,C7,1
CN29929578,8402922460,S5,18-12-2001,ACT12,21-30,C6,0
CN49043701,6101261006,S5,24-12-2001,ACT13,21-30,C9,1
CN96666034,4532090132,S5,12-06-2001,ACT14,21-30,C19,1
CN53903682,4993824159,S5,19-08-2001,ACT15,21-30,C4,0
CN96348731,9344370418,S5,24-04-2001,ACT11,21-30,C6,1
CN49737599,9237020112,S5,16-09-2001,ACT12,21-30,C9,0
CN31228534,8116335963,S5,03-10-2001,ACT13,21-30,C10,0
CN63892489,4410194170,S5,24-10-2001,ACT14,21-30,C3,1
CN44256476,4759840817,S5,30-11-2001,ACT15,21-30,C8,0
CN32812348,6157352753,S5,02-12-2001,ACT11,21-30,C7,1
CN27353470,4280793984,S5,18-12-2001,ACT12,21-30,C6,0
CN76925719,5592951438,S5,24-12-2001,ACT13,21-30,C9,1
CN25798572,8986339975,S1,12-06-2001,ACT16,31-40,C19,1
CN31815159,6532651774,S1,19-08-2001,ACT17,31-40,C4,0
CN38509810,4504535623,S1,24-04-2001,ACT18,31-40,C6,1
CN99913663,8362141715,S1,16-09-2001,ACT19,31-40,C9,0
CN28829384,3153359103,S1,03-10-2001,ACT20,31-40,C10,0
CN92383509,7594409771,S1,24-10-2001,ACT16,31-40,C3,1
CN32032902,9551333450,S1,30-11-2001,ACT17,31-40,C8,0
CN78143587,9455741177,S1,02-12-2001,ACT18,31-40,C7,1
CN34370839,7226268218,S1,18-12-2001,ACT19,31-40,C6,0
CN31030205,5071656671,S1,24-12-2001,ACT20,31-40,C9,1
CN89221762,5320982940,S1,12-06-2001,ACT16,31-40,C19,1
CN55241649,8032899428,S1,19-08-2001,ACT17,31-40,C4,0
CN81690563,6040139278,S1,24-04-2001,ACT18,31-40,C6,0
