   ,CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
1758,CN72711337,4497541533,S5,11-11-2000,ACT10,11-20,C13,0
1759,CN61817748,3217094884,S5,26-11-2000,ACT6,11-20,C14,1
1760,CN23591417,3160053113,S5,29-12-2000,ACT7,11-20,C15,0
1761,CN64313237,3037004395,S5,30-07-2000,ACT8,11-20,C14,0
1762,CN86298928,8528585565,S5,15-02-2001,ACT9,11-20,C1,1
1763,CN54677836,7812706208,S5,18-01-2001,ACT10,11-20,C4,1
1764,CN70485515,5577100648,S5,04-04-2001,ACT6,11-20,C13,0
1765,CN83871157,8626768804,S5,29-05-2001,ACT7,11-20,C11,1
1806,CN90001693,4798758299,S5,12-10-2000,ACT8,11-20,C11,0
1807,CN62259688,3769844148,S5,22-04-2000,ACT9,11-20,C12,1
1808,CN65795695,7491116646,S5,11-11-2000,ACT10,11-20,C13,0
1809,CN49156853,8631040935,S5,26-11-2000,ACT6,11-20,C14,1
1810,CN29483835,6112687765,S5,29-12-2000,ACT7,11-20,C15,0
1811,CN27701988,2920704491,S5,30-07-2000,ACT8,11-20,C14,0
1812,CN31859353,4471277269,S5,15-02-2001,ACT9,11-20,C1,1
1813,CN68934051,9420451922,S5,18-01-2001,ACT10,11-20,C4,1
1814,CN35269898,4652937907,S5,04-04-2001,ACT6,11-20,C13,0
1815,CN66887744,5665359515,S5,29-05-2001,ACT7,11-20,C11,1
1851,CN44709383,7046195766,S5,12-10-2000,ACT8,11-20,C11,0
1852,CN98462733,2693548404,S5,22-04-2000,ACT9,11-20,C12,1
1853,CN26952240,6584979609,S5,11-11-2000,ACT10,11-20,C13,0
1854,CN78189705,4987610252,S5,26-11-2000,ACT6,11-20,C14,1
1855,CN59290844,5296220606,S5,29-12-2000,ACT7,11-20,C15,0
1856,CN42174695,9501204255,S5,30-07-2000,ACT8,11-20,C14,0
1857,CN97845833,5114244560,S5,15-02-2001,ACT9,11-20,C1,1
1858,CN64717555,7822856924,S5,18-01-2001,ACT10,11-20,C4,1
1859,CN90457801,9652043617,S5,04-04-2001,ACT6,11-20,C13,0
1860,CN35181608,8993886049,S5,29-05-2001,ACT7,11-20,C11,1
1901,CN40227426,3075331095,S5,12-10-2000,ACT8,11-20,C11,0
1902,CN63274247,6118648687,S5,22-04-2000,ACT9,11-20,C12,1
1903,CN54880621,6043314499,S5,11-11-2000,ACT10,11-20,C13,0
1904,CN93129688,5278424176,S5,26-11-2000,ACT6,11-20,C14,1
1905,CN30616663,9224264240,S5,29-12-2000,ACT7,11-20,C15,0
1906,CN94395717,3526147212,S5,30-07-2000,ACT8,11-20,C14,0
1907,CN28200816,6923805239,S5,15-02-2001,ACT9,11-20,C1,1
1908,CN69301622,5859232416,S5,18-01-2001,ACT10,11-20,C4,1
1909,CN97841243,2396069564,S5,04-04-2001,ACT6,11-20,C13,0
1910,CN80629767,7488902229,S5,29-05-2001,ACT7,11-20,C11,1
1951,CN62276152,4598495099,S5,12-10-2000,ACT8,11-20,C11,0
1952,CN33889400,8078634580,S5,22-04-2000,ACT9,11-20,C12,1
1953,CN25457070,8508808459,S5,11-11-2000,ACT10,11-20,C13,0
1954,CN45695162,8990262100,S5,26-11-2000,ACT6,11-20,C14,1
1955,CN91061904,3715449148,S5,29-12-2000,ACT7,11-20,C15,0
1956,CN95899131,3010276740,S5,30-07-2000,ACT8,11-20,C14,0
1957,CN89455704,8513691670,S5,15-02-2001,ACT9,11-20,C1,1
1958,CN98627764,7515576283,S5,18-01-2001,ACT10,11-20,C4,1
1959,CN55599275,6011941068,S5,04-04-2001,ACT6,11-20,C13,0
1960,CN55688633,7245065536,S5,29-05-2001,ACT7,11-20,C11,1
41,CN65389268,4001995388,S1,12-06-2001,ACT11,21-30,C19,1
42,CN92399572,8531014643,S1,19-08-2001,ACT12,21-30,C4,0
43,CN34415459,4727757364,S1,24-04-2001,ACT13,21-30,C6,1
44,CN54566257,4744045695,S1,16-09-2001,ACT14,21-30,C9,0
45,CN81894703,8721859888,S1,03-10-2001,ACT15,21-30,C10,0
46,CN49204789,6199946937,S1,24-10-2001,ACT11,21-30,C3,1
47,CN50032497,8050852433,S1,30-11-2001,ACT12,21-30,C8,0
48,CN46133447,7600278566,S1,02-12-2001,ACT13,21-30,C7,1
49,CN35024852,3649653943,S1,18-12-2001,ACT14,21-30,C6,0
50,CN39035744,9029660831,S1,24-12-2001,ACT15,21-30,C9,1
91,CN35953765,9982945562,S1,12-06-2001,ACT11,21-30,C19,1
92,CN97889172,2305794702,S1,19-08-2001,ACT12,21-30,C4,0
93,CN63156602,6081006075,S1,24-04-2001,ACT13,21-30,C6,1
94,CN72257818,5440381026,S1,16-09-2001,ACT14,21-30,C9,0
95,CN48491838,3595207119,S1,03-10-2001,ACT15,21-30,C10,0
96,CN24475848,2996832030,S1,24-10-2001,ACT11,21-30,C3,1
97,CN39405827,9870617669,S1,30-11-2001,ACT12,21-30,C8,0
98,CN36187577,4710958131,S1,02-12-2001,ACT13,21-30,C7,1
99,CN48810486,6861863814,S1,18-12-2001,ACT14,21-30,C6,0
100,CN23220850,3576158338,S1,24-12-2001,ACT15,21-30,C9,1
161,CN52181774,5261574312,S1,12-06-2001,ACT11,21-30,C19,1
162,CN72962071,4836619511,S1,19-08-2001,ACT12,21-30,C4,0
163,CN61435005,5014770725,S1,24-04-2001,ACT13,21-30,C6,1
164,CN44895579,6388411393,S1,16-09-2001,ACT14,21-30,C9,0
165,CN44509930,3475289357,S1,03-10-2001,ACT15,21-30,C10,0
166,CN90272795,3486416214,S1,24-10-2001,ACT11,21-30,C3,1
167,CN59614938,6277614190,S1,30-11-2001,ACT12,21-30,C8,0
168,CN23664229,8996726918,S1,02-12-2001,ACT13,21-30,C7,1
169,CN82452358,9637305056,S1,18-12-2001,ACT14,21-30,C6,0
170,CN32029202,5654274748,S1,24-12-2001,ACT15,21-30,C9,1
211,CN76903406,3174939316,S1,12-06-2001,ACT11,21-30,C19,1
212,CN61671930,5347302702,S1,19-08-2001,ACT12,21-30,C4,0
213,CN98612068,9449935060,S1,24-04-2001,ACT13,21-30,C6,1
214,CN44553285,8173825956,S1,16-09-2001,ACT14,21-30,C9,0
215,CN47241351,7720144771,S1,03-10-2001,ACT15,21-30,C10,0
216,CN48421268,9478149964,S1,24-10-2001,ACT11,21-30,C3,1
217,CN54159727,7080747984,S1,30-11-2001,ACT12,21-30,C8,0
218,CN75343436,9038805624,S1,02-12-2001,ACT13,21-30,C7,1
219,CN32436668,2841263894,S1,18-12-2001,ACT14,21-30,C6,0
220,CN26412281,3112234259,S1,24-12-2001,ACT15,21-30,C9,1
261,CN53866403,3798753672,S1,12-06-2001,ACT11,21-30,C19,1
262,CN41947758,3957886641,S1,19-08-2001,ACT12,21-30,C4,0
263,CN54501421,6746249157,S1,24-04-2001,ACT13,21-30,C6,1
264,CN51623022,7462143424,S1,16-09-2001,ACT14,21-30,C9,0
265,CN40891902,8805874959,S1,03-10-2001,ACT15,21-30,C10,0
266,CN73458677,8540073017,S1,24-10-2001,ACT11,21-30,C3,1
267,CN83922764,5978598921,S1,30-11-2001,ACT12,21-30,C8,0
268,CN92294036,9186844285,S1,02-12-2001,ACT13,21-30,C7,1
269,CN76567753,9454149944,S1,18-12-2001,ACT14,21-30,C6,0
270,CN58504730,3378793746,S1,24-12-2001,ACT15,21-30,C9,1
311,CN59456544,7253335815,S1,12-06-2001,ACT11,21-30,C19,1
312,CN61557302,7148762738,S1,19-08-2001,ACT12,21-30,C4,0
313,CN86589661,8475966766,S1,24-04-2001,ACT13,21-30,C6,1
314,CN43459985,2801988709,S1,16-09-2001,ACT14,21-30,C9,0
315,CN56421717,3499640490,S1,03-10-2001,ACT15,21-30,C10,0
316,CN49096065,6779241396,S1,24-10-2001,ACT11,21-30,C3,1
317,CN70747930,2337641321,S1,30-11-2001,ACT12,21-30,C8,0
318,CN26885242,9776238376,S1,02-12-2001,ACT13,21-30,C7,1
319,CN84130275,8592903555,S1,18-12-2001,ACT14,21-30,C6,0
320,CN38181141,4006106196,S1,24-12-2001,ACT15,21-30,C9,1
361,CN28709683,9713888830,S1,12-06-2001,ACT11,21-30,C19,1
362,CN60803695,3761739886,S1,19-08-2001,ACT12,21-30,C4,0
363,CN92695714,5787836434,S1,24-04-2001,ACT13,21-30,C6,1
364,CN83182787,9258733499,S1,16-09-2001,ACT14,21-30,C9,0
365,CN66582052,4004393775,S1,03-10-2001,ACT15,21-30,C10,0
366,CN81786198,4753089542,S1,24-10-2001,ACT11,21-30,C3,1
367,CN33064969,5820871568,S1,30-11-2001,ACT12,21-30,C8,0
368,CN24092144,2445960343,S1,02-12-2001,ACT13,21-30,C7,1
369,CN26961786,5575615371,S1,18-12-2001,ACT14,21-30,C6,0
370,CN27133893,2622809198,S1,24-12-2001,ACT15,21-30,C9,1
416,CN77867278,3504413601,S1,12-06-2001,ACT11,21-30,C19,1
417,CN86865557,3844778605,S1,19-08-2001,ACT12,21-30,C4,0
418,CN34569567,5177741268,S1,24-04-2001,ACT13,21-30,C6,1
419,CN50763730,3429215989,S1,16-09-2001,ACT14,21-30,C9,0
420,CN45490700,9649758782,S1,03-10-2001,ACT15,21-30,C10,0
441,CN56783034,8326906604,S1,12-06-2001,ACT11,21-30,C19,1
442,CN94343155,6979072225,S1,19-08-2001,ACT12,21-30,C4,0
443,CN72997684,3767394210,S1,24-04-2001,ACT13,21-30,C6,1
444,CN70876640,8554884519,S2,16-09-2001,ACT11,21-30,C9,0
445,CN63927776,9986737704,S2,03-10-2001,ACT12,21-30,C10,0
446,CN49332182,5624286446,S2,24-10-2001,ACT13,21-30,C3,1
447,CN75342348,7410306073,S2,30-11-2001,ACT14,21-30,C8,0
448,CN86373904,8780669196,S2,02-12-2001,ACT15,21-30,C7,1
449,CN64615499,5313515793,S2,18-12-2001,ACT11,21-30,C6,0
450,CN46422352,3495164747,S2,24-12-2001,ACT12,21-30,C9,1
491,CN46933207,8480155372,S2,12-06-2001,ACT13,21-30,C19,1
492,CN36524814,5162411907,S2,19-08-2001,ACT14,21-30,C4,0
493,CN92124252,2838610527,S2,24-04-2001,ACT15,21-30,C6,1
494,CN34463375,8918516850,S2,16-09-2001,ACT11,21-30,C9,0
495,CN99662256,7820742021,S2,03-10-2001,ACT12,21-30,C10,0
496,CN69397273,5918166042,S2,24-10-2001,ACT13,21-30,C3,1
497,CN77497211,5506511958,S2,30-11-2001,ACT14,21-30,C8,0
498,CN29568073,3219305902,S2,02-12-2001,ACT15,21-30,C7,1
499,CN83638896,4054903602,S2,18-12-2001,ACT11,21-30,C6,0
500,CN64522828,6696052874,S2,24-12-2001,ACT12,21-30,C9,1
541,CN88146416,7063202087,S2,12-06-2001,ACT13,21-30,C19,1
542,CN93045064,9944727931,S2,19-08-2001,ACT14,21-30,C4,0
543,CN81335080,9259678518,S2,24-04-2001,ACT15,21-30,C6,1
544,CN56203343,6522956315,S2,16-09-2001,ACT11,21-30,C9,0
545,CN60995897,5206748317,S2,03-10-2001,ACT12,21-30,C10,0
546,CN94073971,3578977382,S2,24-10-2001,ACT13,21-30,C3,1
547,CN48405488,3237923426,S2,30-11-2001,ACT14,21-30,C8,0
548,CN51938824,3494671530,S2,02-12-2001,ACT15,21-30,C7,1
549,CN63869084,6747333343,S2,18-12-2001,ACT11,21-30,C6,0
550,CN85597197,3119449687,S2,24-12-2001,ACT12,21-30,C9,1
596,CN71641701,6034199381,S2,12-06-2001,ACT13,21-30,C19,1
597,CN89947473,6666046170,S2,19-08-2001,ACT14,21-30,C4,0
598,CN40471906,3925112320,S2,24-04-2001,ACT15,21-30,C6,1
599,CN31847535,9667905393,S2,16-09-2001,ACT11,21-30,C9,0
600,CN36249256,3163102333,S2,03-10-2001,ACT12,21-30,C10,0
601,CN27097153,3923816018,S2,24-10-2001,ACT13,21-30,C3,1
602,CN82381923,5601702948,S2,30-11-2001,ACT14,21-30,C8,0
603,CN91451444,5735276725,S2,02-12-2001,ACT15,21-30,C7,1
604,CN49030052,3846045089,S2,18-12-2001,ACT11,21-30,C6,0
605,CN85318931,5803355036,S2,24-12-2001,ACT12,21-30,C9,1
636,CN41038084,9758722214,S2,12-06-2001,ACT13,21-30,C19,1
637,CN25512553,9837290180,S2,19-08-2001,ACT14,21-30,C4,0
638,CN54837973,8828903085,S2,24-04-2001,ACT15,21-30,C6,1
639,CN30619186,5720734597,S2,16-09-2001,ACT11,21-30,C9,0
640,CN97750873,6237594844,S2,03-10-2001,ACT12,21-30,C10,0
641,CN93609775,2560115922,S2,24-10-2001,ACT13,21-30,C3,1
642,CN31567561,7743416731,S2,30-11-2001,ACT14,21-30,C8,0
643,CN81774740,4415483830,S2,02-12-2001,ACT15,21-30,C7,1
644,CN24471040,4236467152,S2,18-12-2001,ACT11,21-30,C6,0
645,CN67308334,4926413962,S2,24-12-2001,ACT12,21-30,C9,1
686,CN30198825,2307126697,S2,12-06-2001,ACT13,21-30,C19,1
687,CN30618234,4551231978,S2,19-08-2001,ACT14,21-30,C4,0
688,CN59570244,7075427329,S2,24-04-2001,ACT15,21-30,C6,1
689,CN69692897,7121188468,S2,16-09-2001,ACT11,21-30,C9,0
690,CN96110601,2986472773,S2,03-10-2001,ACT12,21-30,C10,0
691,CN44665153,4405134878,S2,24-10-2001,ACT13,21-30,C3,1
692,CN58838244,3052972891,S2,30-11-2001,ACT14,21-30,C8,0
693,CN22484043,3513257882,S2,02-12-2001,ACT15,21-30,C7,1
694,CN84672296,5277235906,S2,18-12-2001,ACT11,21-30,C6,0
695,CN39846753,2723447751,S2,24-12-2001,ACT12,21-30,C9,1
701,CN75583443,2816309232,S2,24-10-2001,ACT13,21-30,C3,1
702,CN90358186,2936850897,S2,30-11-2001,ACT14,21-30,C8,0
703,CN75974063,8650249617,S2,02-12-2001,ACT15,21-30,C7,1
704,CN39178936,6623899789,S2,18-12-2001,ACT11,21-30,C6,0
705,CN69607382,7543278007,S2,24-12-2001,ACT12,21-30,C9,1
746,CN57788028,4908617548,S2,12-06-2001,ACT13,21-30,C19,1
747,CN33152365,5748662179,S2,19-08-2001,ACT14,21-30,C4,0
748,CN78177872,4268987925,S2,24-04-2001,ACT15,21-30,C6,1
749,CN48822579,9828309153,S2,16-09-2001,ACT11,21-30,C9,0
750,CN26141280,9516635124,S2,03-10-2001,ACT12,21-30,C10,0
751,CN33882196,5177737877,S2,24-10-2001,ACT13,21-30,C3,1
752,CN79034524,4545656060,S2,30-11-2001,ACT14,21-30,C8,0
753,CN45996821,5351583268,S2,02-12-2001,ACT15,21-30,C7,1
754,CN78195961,8797346570,S2,18-12-2001,ACT11,21-30,C6,0
755,CN54088061,5538119523,S2,24-12-2001,ACT12,21-30,C9,1
801,CN81944910,8055713648,S2,12-06-2001,ACT13,21-30,C19,1
802,CN63045692,5052763513,S2,19-08-2001,ACT14,21-30,C4,0
803,CN98431406,9471988177,S2,24-04-2001,ACT15,21-30,C6,1
804,CN33992036,8680503400,S2,16-09-2001,ACT11,21-30,C9,0
805,CN44541988,3119804358,S2,03-10-2001,ACT12,21-30,C10,0
806,CN98553827,2672615425,S2,24-10-2001,ACT13,21-30,C3,1
807,CN74943024,5471847674,S3,30-11-2001,ACT11,21-30,C8,0
808,CN82819793,9879608218,S3,02-12-2001,ACT12,21-30,C7,1
809,CN30661378,9518953151,S3,18-12-2001,ACT13,21-30,C6,0
810,CN23496180,3267750658,S3,24-12-2001,ACT14,21-30,C9,1
851,CN54674158,8435868399,S3,12-06-2001,ACT15,21-30,C19,1
852,CN30751757,9993422766,S3,19-08-2001,ACT11,21-30,C4,0
853,CN91883004,7104399200,S3,24-04-2001,ACT12,21-30,C6,1
854,CN78757695,8846672313,S3,16-09-2001,ACT13,21-30,C9,0
855,CN99426900,3415149544,S3,03-10-2001,ACT14,21-30,C10,0
856,CN44924648,6849524864,S3,24-10-2001,ACT15,21-30,C3,1
857,CN50246947,6220717375,S3,30-11-2001,ACT11,21-30,C8,0
858,CN33665796,8515442334,S3,02-12-2001,ACT12,21-30,C7,1
859,CN52090713,5682490287,S3,18-12-2001,ACT13,21-30,C6,0
860,CN79420277,9863686724,S3,24-12-2001,ACT14,21-30,C9,1
921,CN26158114,5723423450,S3,12-06-2001,ACT15,21-30,C19,1
922,CN46865605,4590599696,S3,19-08-2001,ACT11,21-30,C4,0
923,CN27552995,6375646647,S3,24-04-2001,ACT12,21-30,C6,1
924,CN70484864,2844736772,S3,16-09-2001,ACT13,21-30,C9,0
925,CN78023024,2496606852,S3,03-10-2001,ACT14,21-30,C10,0
926,CN71759643,6787999006,S3,24-10-2001,ACT15,21-30,C3,1
927,CN46715682,3321550661,S3,30-11-2001,ACT11,21-30,C8,0
928,CN98374777,9141789733,S3,02-12-2001,ACT12,21-30,C7,1
929,CN23128120,5563079674,S3,18-12-2001,ACT13,21-30,C6,0
930,CN80097583,3267747883,S3,24-12-2001,ACT14,21-30,C9,1
971,CN36193390,4536615923,S3,12-06-2001,ACT15,21-30,C19,1
972,CN92139658,7561147225,S3,19-08-2001,ACT11,21-30,C4,0
973,CN43795065,6299410152,S3,24-04-2001,ACT12,21-30,C6,1
974,CN82760011,8625122698,S3,16-09-2001,ACT13,21-30,C9,0
975,CN74526358,3280808882,S3,03-10-2001,ACT14,21-30,C10,0
976,CN48333161,6548957709,S3,24-10-2001,ACT15,21-30,C3,1
977,CN24860171,8373379519,S3,30-11-2001,ACT11,21-30,C8,0
978,CN78706267,4064310114,S3,02-12-2001,ACT12,21-30,C7,1
979,CN58998981,6116085919,S3,18-12-2001,ACT13,21-30,C6,0
980,CN51672705,9876819866,S3,24-12-2001,ACT14,21-30,C9,1
981,CN27749934,7614633233,S3,24-10-2001,ACT15,21-30,C3,1
982,CN37333535,2814213624,S3,30-11-2001,ACT11,21-30,C8,0
983,CN93986983,6095997261,S3,02-12-2001,ACT12,21-30,C7,1
984,CN42554144,2603239085,S3,18-12-2001,ACT13,21-30,C6,0
985,CN91776476,9648691067,S3,24-12-2001,ACT14,21-30,C9,1
1016,CN79669707,6902143598,S3,12-06-2001,ACT15,21-30,C19,1
1017,CN77348363,6527654505,S3,19-08-2001,ACT11,21-30,C4,0
1018,CN53420699,9000957173,S3,24-04-2001,ACT12,21-30,C6,1
1019,CN79213607,3767794628,S3,16-09-2001,ACT13,21-30,C9,0
1020,CN42769093,2686587063,S3,03-10-2001,ACT14,21-30,C10,0
1021,CN72430962,3287426683,S3,24-10-2001,ACT15,21-30,C3,1
1022,CN62220541,2273890332,S3,30-11-2001,ACT11,21-30,C8,0
1023,CN62048027,5865404521,S3,02-12-2001,ACT12,21-30,C7,1
1024,CN66244267,3866967917,S3,18-12-2001,ACT13,21-30,C6,0
1025,CN74619974,6814266555,S3,24-12-2001,ACT14,21-30,C9,1
1066,CN40337557,9461870668,S3,12-06-2001,ACT15,21-30,C19,1
1067,CN84964396,3577203207,S3,19-08-2001,ACT11,21-30,C4,0
1068,CN30998878,3957893808,S3,24-04-2001,ACT12,21-30,C6,1
1069,CN84859577,3109806152,S3,16-09-2001,ACT13,21-30,C9,0
1070,CN83611493,7040776337,S3,03-10-2001,ACT14,21-30,C10,0
1071,CN59986771,9209139101,S3,24-10-2001,ACT15,21-30,C3,1
1072,CN46408159,4342991903,S3,30-11-2001,ACT11,21-30,C8,0
1073,CN24588338,9531737825,S3,02-12-2001,ACT12,21-30,C7,1
1074,CN92113930,2755175781,S3,18-12-2001,ACT13,21-30,C6,0
1075,CN98253452,4904859046,S3,24-12-2001,ACT14,21-30,C9,1
1121,CN23101500,6825032580,S3,12-06-2001,ACT15,21-30,C19,1
1122,CN47294984,3679313879,S3,19-08-2001,ACT11,21-30,C4,0
1123,CN68716649,9334213838,S3,24-04-2001,ACT12,21-30,C6,1
1124,CN70515308,7577649888,S3,16-09-2001,ACT13,21-30,C9,0
1125,CN99561849,7961730441,S3,03-10-2001,ACT14,21-30,C10,0
1126,CN30996617,7297834014,S3,24-10-2001,ACT15,21-30,C3,1
1127,CN45263705,9132779669,S3,30-11-2001,ACT11,21-30,C8,0
1128,CN49374669,2968986525,S3,02-12-2001,ACT12,21-30,C7,1
1129,CN49387482,2647802200,S3,18-12-2001,ACT13,21-30,C6,0
1130,CN53102254,2977621770,S3,24-12-2001,ACT14,21-30,C9,1
1171,CN57603570,8914798110,S3,12-06-2001,ACT15,21-30,C19,1
1172,CN78578384,9839891092,S3,19-08-2001,ACT11,21-30,C4,0
1173,CN35475972,9155908181,S3,24-04-2001,ACT12,21-30,C6,1
1174,CN86498736,6494081477,S3,16-09-2001,ACT13,21-30,C9,0
1175,CN39172122,6524614760,S3,03-10-2001,ACT14,21-30,C10,0
1176,CN84149018,6250595240,S3,24-10-2001,ACT15,21-30,C3,1
1177,CN62588899,6239630244,S3,30-11-2001,ACT11,21-30,C8,0
1178,CN84693525,4567492857,S3,02-12-2001,ACT12,21-30,C7,1
1179,CN36574649,5265856462,S3,18-12-2001,ACT13,21-30,C6,0
1180,CN80327507,6674691211,S4,24-12-2001,ACT11,21-30,C9,1
1241,CN90290857,7473935805,S4,12-06-2001,ACT12,21-30,C19,1
1242,CN81806927,9944867521,S4,19-08-2001,ACT13,21-30,C4,0
1243,CN71263172,4819734801,S4,24-04-2001,ACT14,21-30,C6,1
1244,CN53823645,4924816888,S4,16-09-2001,ACT15,21-30,C9,0
1245,CN51793778,8628199985,S4,03-10-2001,ACT11,21-30,C10,0
1246,CN56329187,9134054003,S4,24-10-2001,ACT12,21-30,C3,1
1247,CN24159024,9213702709,S4,30-11-2001,ACT13,21-30,C8,0
1248,CN66986410,3797750341,S4,02-12-2001,ACT14,21-30,C7,1
1249,CN65591166,4315797087,S4,18-12-2001,ACT15,21-30,C6,0
1250,CN48225890,6071863802,S4,24-12-2001,ACT11,21-30,C9,1
1291,CN41551172,7558270084,S4,12-06-2001,ACT12,21-30,C19,1
1292,CN51500428,6124622235,S4,19-08-2001,ACT13,21-30,C4,0
1293,CN76251314,8521329842,S4,24-04-2001,ACT14,21-30,C6,1
1294,CN61240305,2329821474,S4,16-09-2001,ACT15,21-30,C9,0
1295,CN24612351,4544677267,S4,03-10-2001,ACT11,21-30,C10,0
1296,CN86839128,2447905592,S4,24-10-2001,ACT12,21-30,C3,1
1297,CN52143886,6632196256,S4,30-11-2001,ACT13,21-30,C8,0
1298,CN42740978,4973503813,S4,02-12-2001,ACT14,21-30,C7,1
1299,CN68624280,2668278737,S4,18-12-2001,ACT15,21-30,C6,0
1300,CN40436870,5061897372,S4,24-12-2001,ACT11,21-30,C9,1
1341,CN82303800,9870163028,S4,12-06-2001,ACT12,21-30,C19,1
1342,CN50009364,6979342935,S4,19-08-2001,ACT13,21-30,C4,0
1343,CN82287343,7857143939,S4,24-04-2001,ACT14,21-30,C6,1
1344,CN59104369,2846362043,S4,16-09-2001,ACT15,21-30,C9,0
1345,CN88050479,5965306980,S4,03-10-2001,ACT11,21-30,C10,0
1346,CN93012545,6750707670,S4,24-10-2001,ACT12,21-30,C3,1
1347,CN34683596,9588005623,S4,30-11-2001,ACT13,21-30,C8,0
1348,CN91365244,9672782361,S4,02-12-2001,ACT14,21-30,C7,1
1349,CN63408578,3737988398,S4,18-12-2001,ACT15,21-30,C6,0
1350,CN85527606,3477424713,S4,24-12-2001,ACT11,21-30,C9,1
1391,CN39755153,3104262796,S4,12-06-2001,ACT12,21-30,C19,1
1392,CN66365880,5118544395,S4,19-08-2001,ACT13,21-30,C4,0
1393,CN72065704,5637521078,S4,24-04-2001,ACT14,21-30,C6,1
1394,CN59310690,9693654982,S4,16-09-2001,ACT15,21-30,C9,0
1395,CN83813157,3984365171,S4,03-10-2001,ACT11,21-30,C10,0
1396,CN55575682,5132178599,S4,24-10-2001,ACT12,21-30,C3,1
1397,CN37816653,5285377780,S4,30-11-2001,ACT13,21-30,C8,0
1398,CN86026226,9961829765,S4,02-12-2001,ACT14,21-30,C7,1
1399,CN29857728,4610946533,S4,18-12-2001,ACT15,21-30,C6,0
1400,CN34261865,9353009545,S4,24-12-2001,ACT11,21-30,C9,1
1441,CN31683832,6462510401,S4,12-06-2001,ACT12,21-30,C19,1
1442,CN76089872,3315801202,S4,19-08-2001,ACT13,21-30,C4,0
1443,CN91295503,9496433402,S4,24-04-2001,ACT14,21-30,C6,1
1444,CN78300615,6746899637,S4,16-09-2001,ACT15,21-30,C9,0
1445,CN35689753,7522927492,S4,03-10-2001,ACT11,21-30,C10,0
1446,CN52046703,7549290755,S4,24-10-2001,ACT12,21-30,C3,1
1447,CN60303263,6944277962,S4,30-11-2001,ACT13,21-30,C8,0
1448,CN82442925,9785231721,S4,02-12-2001,ACT14,21-30,C7,1
1449,CN27381949,4044702761,S4,18-12-2001,ACT15,21-30,C6,0
1450,CN74376476,2642922640,S4,24-12-2001,ACT11,21-30,C9,1
1496,CN40476086,2637152199,S4,12-06-2001,ACT12,21-30,C19,1
1497,CN92674072,8091351089,S4,19-08-2001,ACT13,21-30,C4,0
1498,CN87211497,9233787667,S4,24-04-2001,ACT14,21-30,C6,1
1499,CN33520218,6678233177,S4,16-09-2001,ACT15,21-30,C9,0
1500,CN37247617,2622392234,S4,03-10-2001,ACT11,21-30,C10,0
1521,CN81158484,8302509197,S4,12-06-2001,ACT12,21-30,C19,1
1522,CN41555035,2239287908,S4,19-08-2001,ACT13,21-30,C4,0
1523,CN65549769,6948426392,S4,24-04-2001,ACT14,21-30,C6,1
1524,CN62561757,9265077289,S4,16-09-2001,ACT15,21-30,C9,0
1525,CN71843937,4578807751,S4,03-10-2001,ACT11,21-30,C10,0
1526,CN73360578,7123865219,S4,24-10-2001,ACT12,21-30,C3,1
1527,CN86945787,4574638589,S4,30-11-2001,ACT13,21-30,C8,0
1528,CN28949376,2442174137,S4,02-12-2001,ACT14,21-30,C7,1
1529,CN57413933,6122181126,S4,18-12-2001,ACT15,21-30,C6,0
1530,CN48139876,6067829622,S4,24-12-2001,ACT11,21-30,C9,1
1571,CN71235398,9607732932,S4,12-06-2001,ACT12,21-30,C19,1
1572,CN80435944,8257740380,S4,19-08-2001,ACT13,21-30,C4,0
1573,CN22226191,2760391977,S4,24-04-2001,ACT14,21-30,C6,1
1574,CN60319016,5390386029,S4,16-09-2001,ACT15,21-30,C9,0
1575,CN70488402,3632222477,S4,03-10-2001,ACT11,21-30,C10,0
1576,CN85476703,3705489123,S4,24-10-2001,ACT12,21-30,C3,1
1577,CN47824100,9269197568,S4,30-11-2001,ACT13,21-30,C8,0
1578,CN88380209,4464212036,S4,02-12-2001,ACT14,21-30,C7,1
1579,CN92202994,7054619562,S4,18-12-2001,ACT15,21-30,C6,0
1580,CN27834491,3945567879,S4,24-12-2001,ACT11,21-30,C9,1
1621,CN22312693,4961804021,S4,12-06-2001,ACT12,21-30,C19,1
1622,CN61769512,7026929481,S4,19-08-2001,ACT13,21-30,C4,0
1623,CN75418302,6935664486,S5,24-04-2001,ACT11,21-30,C6,1
1624,CN74458264,7568329973,S5,16-09-2001,ACT12,21-30,C9,0
1625,CN24885847,6254623993,S5,03-10-2001,ACT13,21-30,C10,0
1626,CN31252685,5112003155,S5,24-10-2001,ACT14,21-30,C3,1
1627,CN99417216,3046732616,S5,30-11-2001,ACT15,21-30,C8,0
1628,CN61528858,9470224927,S5,02-12-2001,ACT11,21-30,C7,1
1629,CN24909363,4686974948,S5,18-12-2001,ACT12,21-30,C6,0
1630,CN40938579,4608448873,S5,24-12-2001,ACT13,21-30,C9,1
1676,CN23603115,9666500087,S5,12-06-2001,ACT14,21-30,C19,1
1677,CN81529501,8578154159,S5,19-08-2001,ACT15,21-30,C4,0
